index,schema_version,standard_version,auditor_version,generated_at,run_id,repo_id,repo_remote,branch,commit,dirty_worktree,scope,changed_paths,score,raw_score,finding_count,hard_findings,soft_findings,decision,minimum_score,caps_applied,report_fingerprint,input_fingerprint,policy_fingerprint,repo_score_json_path,repo_score_md_path
1,1.1.0,0.7.0,0.7.0,1778022775,1778022775,sha256:0000d77e97c137749abb64ac11bfef2ef7cfefa9b8511fbcb37380a05e48ec7f,git@github.com:jeppsontaylor/jansu.git,jankurai-score,3f47148,true,full,[],60,64,313,304,9,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""secret-like-content-detected"",""authz-or-data-isolation-gap"",""input-boundary-gap"",""release-readiness-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior"",""sql-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior""]",sha256:b273de64dc35cc0044ba825c2b995727228034d2ec909e7e6b20560509f1e454,sha256:e18a9150953a34ee7f11c81a0bbdf60b4c64130f901374a155d93697058c83b2,sha256:78c399756b75da1f745b26f6e86aafb30b36b478e031187a34ad583d5e6d2293,agent/repo-score.json,agent/repo-score.md
2,1.1.0,0.7.0,0.7.0,1778022867,1778022867,sha256:0000d77e97c137749abb64ac11bfef2ef7cfefa9b8511fbcb37380a05e48ec7f,git@github.com:jeppsontaylor/jansu.git,jankurai-score,3f47148,true,full,[],60,64,312,303,9,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""secret-like-content-detected"",""authz-or-data-isolation-gap"",""input-boundary-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior"",""sql-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior""]",sha256:e7e617067009e6f34ac8d7ae03a0ac80203c3ef8a4c1efcbaea665084b0b1787,sha256:8c039d820cf7f22b71b596b1673fce1bd0cc88e40d431065b44165dd8dd8beac,sha256:78c399756b75da1f745b26f6e86aafb30b36b478e031187a34ad583d5e6d2293,agent/repo-score.json,agent/repo-score.md
3,1.1.0,0.7.0,0.7.0,1778022888,1778022888,sha256:0000d77e97c137749abb64ac11bfef2ef7cfefa9b8511fbcb37380a05e48ec7f,git@github.com:jeppsontaylor/jansu.git,jankurai-score,3f47148,true,full,[],60,64,313,304,9,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""secret-like-content-detected"",""authz-or-data-isolation-gap"",""input-boundary-gap"",""release-readiness-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior"",""sql-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior""]",sha256:0eb352fdaacdb7ecffb5791e7aac1b645642541634d65ede50455779cf1444e7,sha256:2d25d708da15382fc81504349d22d1b4c68568502c18a8f922ec4b4fcc985a4a,sha256:78c399756b75da1f745b26f6e86aafb30b36b478e031187a34ad583d5e6d2293,agent/repo-score.json,agent/repo-score.md
4,1.1.0,0.7.0,0.7.0,1778022902,1778022902,sha256:0000d77e97c137749abb64ac11bfef2ef7cfefa9b8511fbcb37380a05e48ec7f,git@github.com:jeppsontaylor/jansu.git,jankurai-score,3f47148,true,full,[],60,64,312,303,9,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""secret-like-content-detected"",""authz-or-data-isolation-gap"",""input-boundary-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior"",""sql-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior""]",sha256:51b725d874dafc93f1cfcda500fe7cef9d80d90da63d2afe1e9a530c4081a1d8,sha256:b9f693f62c3ef93a377d3f37aa91fe33fe9c6908c1c9db555b076655a1dc87df,sha256:78c399756b75da1f745b26f6e86aafb30b36b478e031187a34ad583d5e6d2293,agent/repo-score.json,agent/repo-score.md
5,1.1.0,0.7.0,0.7.0,1778022917,1778022917,sha256:0000d77e97c137749abb64ac11bfef2ef7cfefa9b8511fbcb37380a05e48ec7f,git@github.com:jeppsontaylor/jansu.git,jankurai-score,3f47148,true,full,[],60,64,313,304,9,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""secret-like-content-detected"",""authz-or-data-isolation-gap"",""input-boundary-gap"",""release-readiness-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior"",""sql-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior""]",sha256:a9aebe7af375d901fcc06ab306fe209abe4baabde0ab7c727f3987cce2033087,sha256:817b4f2ec1baaecd7e7022ec164f8a9b60dfcb39b73f43adbfd695e4ef25f6a5,sha256:78c399756b75da1f745b26f6e86aafb30b36b478e031187a34ad583d5e6d2293,agent/repo-score.json,agent/repo-score.md
6,1.1.0,0.7.0,0.7.0,1778022938,1778022938,sha256:0000d77e97c137749abb64ac11bfef2ef7cfefa9b8511fbcb37380a05e48ec7f,git@github.com:jeppsontaylor/jansu.git,jankurai-score,3f47148,true,full,[],60,64,312,303,9,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""secret-like-content-detected"",""authz-or-data-isolation-gap"",""input-boundary-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior"",""sql-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior""]",sha256:216c4c83958107dbffc3715a86a2c817a9c9e5a72e4a5c4ebead5fbf5cf5e574,sha256:51a8a18af542067f0f5d5e9392823a7458046bbad67e5f09837e8386156c5684,sha256:78c399756b75da1f745b26f6e86aafb30b36b478e031187a34ad583d5e6d2293,agent/repo-score.json,agent/repo-score.md
7,1.1.0,0.7.0,0.7.0,1778023002,1778023002,sha256:0000d77e97c137749abb64ac11bfef2ef7cfefa9b8511fbcb37380a05e48ec7f,git@github.com:jeppsontaylor/jansu.git,jankurai-score,3f47148,true,full,[],60,64,313,304,9,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""secret-like-content-detected"",""authz-or-data-isolation-gap"",""input-boundary-gap"",""release-readiness-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior"",""sql-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior""]",sha256:e62eab09bbe72da6530a9c77c8bef915c44a8ea761b27726cb45d7b6c0379d9e,sha256:43d6622d86fd2d29a556e417c28eefa1515eab94364055ec491a7dcb4740dd6b,sha256:78c399756b75da1f745b26f6e86aafb30b36b478e031187a34ad583d5e6d2293,agent/repo-score.json,agent/repo-score.md
8,1.1.0,0.7.0,0.7.0,1778023060,1778023060,sha256:0000d77e97c137749abb64ac11bfef2ef7cfefa9b8511fbcb37380a05e48ec7f,git@github.com:jeppsontaylor/jansu.git,jankurai-score,3f47148,true,full,[],60,64,312,303,9,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""secret-like-content-detected"",""authz-or-data-isolation-gap"",""input-boundary-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior"",""sql-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior""]",sha256:2749ed76e51b559b44a42a22fad0bc53e2922674d77af464e6d0ad6d0806fbb7,sha256:c0cb438092f92a077dd7b5026393867203e90111f785503b94088e76cff07671,sha256:78c399756b75da1f745b26f6e86aafb30b36b478e031187a34ad583d5e6d2293,agent/repo-score.json,agent/repo-score.md
9,1.1.0,0.7.0,0.7.0,1778023229,1778023229,sha256:0000d77e97c137749abb64ac11bfef2ef7cfefa9b8511fbcb37380a05e48ec7f,git@github.com:jeppsontaylor/jansu.git,jankurai-score,3f47148,true,full,[],60,64,312,303,9,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""secret-like-content-detected"",""authz-or-data-isolation-gap"",""input-boundary-gap"",""release-readiness-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior"",""sql-bad-behavior"",""docker-bad-behavior""]",sha256:f432085c5886b3774c4884b4d8fe13e027b52491374bbf32d1179dfb7b221823,sha256:d771d9771524b2cedb7ac4ca70cac6ef21ed4930ac1d166ce8fb42576bd5890e,sha256:78c399756b75da1f745b26f6e86aafb30b36b478e031187a34ad583d5e6d2293,agent/repo-score.json,agent/repo-score.md
10,1.1.0,0.7.0,0.7.0,1778024267,1778024267,sha256:0000d77e97c137749abb64ac11bfef2ef7cfefa9b8511fbcb37380a05e48ec7f,git@github.com:jeppsontaylor/jansu.git,jankurai-score,3f47148,true,full,[],60,64,311,302,9,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""secret-like-content-detected"",""authz-or-data-isolation-gap"",""input-boundary-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior"",""sql-bad-behavior"",""docker-bad-behavior""]",sha256:5415389dcd830cc5659f0e027d3a99a3d64788e689587d36ad561783bec3f6aa,sha256:77dd18670667d736244b616c2cc07e88c9cdc3fda394642e69c6e26ac7a1281f,sha256:78c399756b75da1f745b26f6e86aafb30b36b478e031187a34ad583d5e6d2293,agent/repo-score.json,agent/repo-score.md
